date,open,high,low,close,volume
2024-09-26,102.75,103.94999694824219,102.0199966430664,103.19000244140625,1096900
2024-09-27,103.51000213623047,104.62999725341797,103.0999984741211,103.2300033569336,1189100
2024-09-30,103.02999877929688,103.37999725341797,101.88999938964844,103.2699966430664,929500
2024-10-01,103.16999816894531,103.2699966430664,101.47000122070312,102.58999633789062,587700
2024-10-02,101.88999938964844,102.54000091552734,101.30000305175781,101.97000122070312,584800
2024-10-03,101.44000244140625,103.16999816894531,100.72000122070312,102.56999969482422,1123400
2024-10-04,103.83999633789062,104.31999969482422,102.95999908447266,103.73999786376953,515900
2024-10-07,103.29000091552734,105.63999938964844,103.13999938964844,105.19999694824219,768700
2024-10-08,105.48999786376953,106.0,103.80000305175781,104.6500015258789,678300
2024-10-09,104.66000366210938,105.6500015258789,104.0199966430664,105.04000091552734,518100
2024-10-10,104.58000183105469,104.69999694824219,103.69999694824219,104.13999938964844,603700
2024-10-11,104.19999694824219,105.88999938964844,103.93000030517578,105.81999969482422,571700
2024-10-14,105.86000061035156,106.69999694824219,105.33000183105469,106.36000061035156,707600
2024-10-15,106.2699966430664,107.55999755859375,105.94999694824219,106.20999908447266,706300
2024-10-16,106.45999908447266,108.26000213623047,106.23999786376953,107.26000213623047,678200
2024-10-17,107.63999938964844,107.9000015258789,106.5,107.55000305175781,476900
2024-10-18,107.83999633789062,107.93000030517578,106.62000274658203,107.88999938964844,481500
2024-10-21,107.4800033569336,107.9000015258789,106.83999633789062,107.48999786376953,389400
2024-10-22,106.7300033569336,107.12999725341797,105.58999633789062,106.37999725341797,452400
2024-10-23,106.13999938964844,106.7699966430664,104.69000244140625,105.37000274658203,398100
2024-10-24,105.12999725341797,105.83000183105469,104.29000091552734,104.88999938964844,446100
2024-10-25,105.47000122070312,105.47000122070312,103.6500015258789,104.48999786376953,346400
2024-10-28,105.16999816894531,106.16999816894531,104.83000183105469,105.93000030517578,451700
2024-10-29,105.26000213623047,108.66000366210938,105.01000213623047,108.45999908447266,1149500
2024-10-30,108.18000030517578,109.9800033569336,107.30000305175781,107.37000274658203,608900
2024-10-31,107.01000213623047,107.7699966430664,105.94000244140625,106.80000305175781,769300
