date_signal,ticker,sector,bucket,cohort,votes,horizon_days,status,days_elapsed,entry,exit,date_exit,ret_pct,notes,source,generated_at_utc
2025-09-03,A,Unknown,events,P0_other,0,10,open,1,125.22000122070312,128.13999938964844,2025-09-04,2.3318943782780766,,auto,2025-09-04T18:59:10Z
2025-09-03,A,Unknown,events,P0_other,0,20,open,1,125.22000122070312,128.13999938964844,2025-09-04,2.3318943782780766,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,pre,P0_other,0,1,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,pre,P0_other,0,3,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,pre,P0_other,0,5,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,pre,P0_other,0,10,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,pre,P0_other,0,20,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,events,P0_other,0,1,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,events,P0_other,0,3,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,events,P0_other,0,5,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,events,P0_other,0,10,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,events,P0_other,0,20,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,confirmed,P0_other,0,1,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,confirmed,P0_other,0,3,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,confirmed,P0_other,0,5,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,confirmed,P0_other,0,10,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,A,Unknown,confirmed,P0_other,0,20,open,0,128.13999938964844,128.13999938964844,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,pre,P0_other,0,1,closed,1,30.940000534057617,31.110000610351562,2025-09-03,0.5494507865531961,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,pre,P0_other,0,3,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,pre,P0_other,0,5,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,pre,P0_other,0,10,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,pre,P0_other,0,20,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,1,closed,1,30.940000534057617,31.110000610351562,2025-09-03,0.5494507865531961,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,3,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,5,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,10,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,20,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,1,closed,1,30.940000534057617,31.110000610351562,2025-09-03,0.5494507865531961,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,3,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,5,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,10,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-02,AA,Unknown,events,P0_other,0,20,open,2,30.940000534057617,31.030000686645508,2025-09-04,0.29088607315574944,,auto,2025-09-04T18:59:10Z
2025-09-03,AA,Unknown,events,P0_other,0,1,closed,1,31.110000610351562,31.030000686645508,2025-09-04,-0.257151790859933,,auto,2025-09-04T18:59:10Z
2025-09-03,AA,Unknown,events,P0_other,0,3,open,1,31.110000610351562,31.030000686645508,2025-09-04,-0.257151790859933,,auto,2025-09-04T18:59:10Z
2025-09-03,AA,Unknown,events,P0_other,0,5,open,1,31.110000610351562,31.030000686645508,2025-09-04,-0.257151790859933,,auto,2025-09-04T18:59:10Z
2025-09-03,AA,Unknown,events,P0_other,0,10,open,1,31.110000610351562,31.030000686645508,2025-09-04,-0.257151790859933,,auto,2025-09-04T18:59:10Z
2025-09-03,AA,Unknown,events,P0_other,0,20,open,1,31.110000610351562,31.030000686645508,2025-09-04,-0.257151790859933,,auto,2025-09-04T18:59:10Z
2025-09-04,AA,Unknown,events,P0_other,0,1,open,0,31.030000686645508,31.030000686645508,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,AA,Unknown,events,P0_other,0,3,open,0,31.030000686645508,31.030000686645508,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,AA,Unknown,events,P0_other,0,5,open,0,31.030000686645508,31.030000686645508,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,AA,Unknown,events,P0_other,0,10,open,0,31.030000686645508,31.030000686645508,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-04,AA,Unknown,events,P0_other,0,20,open,0,31.030000686645508,31.030000686645508,2025-09-04,0.0,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,pre,P0_other,0,1,closed,1,13.390000343322754,13.4399995803833,2025-09-03,0.3734072873678551,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,pre,P0_other,0,3,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,pre,P0_other,0,5,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,pre,P0_other,0,10,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,pre,P0_other,0,20,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,1,closed,1,13.390000343322754,13.4399995803833,2025-09-03,0.3734072873678551,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,3,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,5,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,10,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,20,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,1,closed,1,13.390000343322754,13.4399995803833,2025-09-03,0.3734072873678551,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,3,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,5,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,10,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,events,P0_other,0,20,open,2,13.390000343322754,12.925000190734863,2025-09-04,-3.4727419019057293,,auto,2025-09-04T18:59:10Z
2025-09-02,AAL,Unknown,pre,P0_other,0,1,closed,1,13.390000343322754,13.4399995803833,2025-09-03,0.3734072873678551,,auto,2025-09-04T18:59:10Z
