ticker_yf,ticker_tv,price,last,mcap_usd_final,mcap,avg_dollar_vol,tv_score,tv_reco,analyst_bucket,analyst_votes,sector,industry,p_tech,p_tv,p_an,pillars_met,votes_bin,rank_score,bucket
WMB,WMB,59.33000183105469,59.33000183105469,,,346627912.89988863,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
KMI,KMI,27.56999969482422,27.56999969482422,,,336979756.2447109,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
ETSY,ETSY,59.59000015258789,59.59000015258789,,,332252262.9694675,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
CPRT,CPRT,48.900001525878906,48.900001525878906,,,331335231.5216354,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
MSCI,MSCI,585.47998046875,585.47998046875,,,328296723.4087402,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
EQIX,EQIX,797.47998046875,797.47998046875,,,320392981.77977294,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
GWW,GWW,1014.6900024414062,1014.6900024414062,,,308497678.8898407,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
DOW,DOW,25.020000457763672,25.020000457763672,,,306497652.84869325,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
GTLB,GTLB,49.7400016784668,49.7400016784668,,,296132546.3703392,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
OTIS,OTIS,89.37999725341797,89.37999725341797,,,294163411.99707985,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
BBY,BBY,78.45999908447266,78.45999908447266,,,289139265.5752865,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
ENPH,ENPH,37.31999969482422,37.31999969482422,,,287015606.3038231,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
GIS,GIS,50.61000061035156,50.61000061035156,,,279545784.3285103,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
DPZ,DPZ,456.6199951171875,456.6199951171875,,,275055454.14771116,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
DLR,DLR,174.6699981689453,174.6699981689453,,,274455230.3224716,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
BLDR,BLDR,146.55999755859375,146.55999755859375,,,264603876.64196166,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
IOT,IOT,38.68999862670898,38.68999862670898,,,262918640.57124025,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
MOH,MOH,188.44000244140625,188.44000244140625,,,261570260.89984742,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
MRNA,MRNA,25.38999938964844,25.38999938964844,,,254434356.77917442,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
GDDY,GDDY,148.58999633789062,148.58999633789062,,,247224156.40670776,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
DOCU,DOCU,80.23999786376953,80.23999786376953,,,247060105.40217057,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
BILL,BILL,51.720001220703125,51.720001220703125,,,244201791.9021713,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
CPB,CPB,33.7599983215332,33.7599983215332,,,240800254.48401088,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
GEHC,GEHC,77.95999908447266,77.95999908447266,,,232946572.0716133,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
EFX,EFX,260.2300109863281,260.2300109863281,,,231352251.77787322,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
HAL,HAL,22.309999465942383,22.309999465942383,,,229239550.4844246,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
CLX,CLX,124.41000366210938,124.41000366210938,,,229101987.50729218,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
LCID,LCID,19.899999618530277,19.899999618530277,,,227155464.9933444,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
LYB,LYB,55.470001220703125,55.470001220703125,,,226682493.520092,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
LII,LII,567.280029296875,567.280029296875,,,224314782.50688475,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
GME,GME,24.850000381469727,24.850000381469727,,,218686044.6359687,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
CAG,CAG,19.440000534057617,19.440000534057617,,,216180252.08718213,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
TRGP,TRGP,165.24000549316406,165.24000549316406,,,215515339.6104706,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
A,A,126.7300033569336,126.7300033569336,,,214528209.1954136,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
IR,IR,81.0199966430664,81.0199966430664,,,211813110.08613127,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
ESTC,ESTC,89.05999755859375,89.05999755859375,,,211213106.56986848,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
BIIB,BIIB,148.83999633789062,148.83999633789062,,,209232273.4696869,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
CDW,CDW,165.72999572753906,165.72999572753906,,,204386880.5430893,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
CART,CART,45.93000030517578,45.93000030517578,,,204263183.3234066,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
CF,CF,86.12999725341797,86.12999725341797,,,196289918.4447716,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
CRS,CRS,243.17999267578125,243.17999267578125,,,196269586.5275879,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
FND,FND,90.41999816894533,90.41999816894533,,,191867230.17152023,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
FTV,FTV,49.56999969482422,49.56999969482422,,,189987026.39289665,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
TRU,TRU,92.9499969482422,92.9499969482422,,,189176486.19078827,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
WAB,WAB,192.17999267578125,192.17999267578125,,,184257038.22086486,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
PSA,PSA,294.9200134277344,294.9200134277344,,,182328371.13199311,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
WAT,WAT,302.45001220703125,302.45001220703125,,,180186079.1010956,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
CHD,CHD,94.41999816894533,94.41999816894533,,,173456569.04423293,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
AA,AA,32.290000915527344,32.290000915527344,,,168033506.37111282,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
POOL,POOL,329.79998779296875,329.79998779296875,,,165780888.80321044,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
QSR,QSR,63.47999954223633,63.47999954223633,,,165137966.06477967,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
SWK,SWK,79.5199966430664,79.5199966430664,,,163199129.2726345,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
DT,DT,49.08000183105469,49.08000183105469,,,162571458.55863112,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
SAIA,SAIA,315.7799987792969,315.7799987792969,,,160999219.0845581,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
AVB,AVB,196.8300018310547,196.8300018310547,,,159935396.81122208,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
ES,ES,65.05000305175781,65.05000305175781,,,158896970.70783386,0.55,HOLD,HOLD,20.0,Utilities,Unknown,False,False,False,0,10-20,0.265,event
CFLT,CFLT,19.450000762939453,19.450000762939453,,,155491705.25958672,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
KMX,KMX,61.25,61.25,,,155164163.78464508,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
BAX,BAX,24.489999771118164,24.489999771118164,,,152067946.1336774,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
AR,AR,32.84000015258789,32.84000015258789,,,151848405.91174755,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
