ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol,rank_score
HDSN,HDSN,10.359999656677246,452404609.00764465,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,367970.0,3.8
TITN,TITN,20.450000762939453,472080087.6121521,Unknown,Unknown,Strong Buy,5,STRONG_BUY,,,,,STRONG_BUY,,,,207520.0,3.8
RGNX,RGNX,9.420000076293945,475843767.8539276,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,619680.9,3.8
ETON,ETON,17.8700008392334,479228747.50614166,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,211469.3,3.8
TLS,TLS,6.570000171661377,482826684.6153259,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1291847.7,3.8
CMPS,CMPS,5.099999904632568,489300600.450325,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2102414.7,3.8
BLZE,BLZE,8.6899995803833,490661708.30726624,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,627497.9,3.8
HONE,HONE,13.0,561061800.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,220870.5,3.8
GOSS,GOSS,2.509999990463257,570726287.7515259,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4151153.7,3.8
ANTE,ANTE,5.260000228881836,582355665.3404236,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2510120.0,3.8
AQST,AQST,5.059999942779541,612128433.0778122,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2572040.4,3.8
TRML,TRML,25.100000381469727,644876739.8008347,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,161784.5,3.8
VSTM,VSTM,10.5600004196167,649918393.8254356,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2788757.3,3.8
RZLT,RZLT,7.380000114440918,651047374.095726,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,961504.1,3.8
LYTS,LYTS,23.25,698216100.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,295690.0,3.8
KE,KE,29.760000228881836,720742565.5431747,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,244007.5,3.8
SFIX,SFIX,5.610000133514404,732032087.4218941,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2516234.9,3.8
SIFY,SIFY,10.239999771118164,744125382.4075012,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,152240.0,3.8
NBBK,NBBK,19.1299991607666,761878998.576355,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,175855.8,3.8
AEHR,AEHR,26.290000915527344,786468006.388092,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2842140.0,3.8
EYPT,EYPT,11.880000114440918,820980428.3885651,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,556380.0,3.8
CFFN,CFFN,6.550000190734863,853334024.848938,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,603720.0,3.8
DAKT,DAKT,17.440000534057617,856666778.2333374,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,260730.0,3.8
BBNX,BBNX,20.100000381469727,873749026.5825272,Unknown,Unknown,Strong Buy,5,STRONG_BUY,,,,,STRONG_BUY,,,,497012.3,3.8
AMLX,AMLX,9.949999809265137,887215612.9926682,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1732699.6,3.8
TSHA,TSHA,3.259999990463257,889311723.4784241,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3784626.9,3.8
SLRC,SLRC,16.690000534057617,910516303.1352997,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,161790.0,3.8
QURE,QURE,17.729999542236328,972790111.8839264,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,895851.1,3.8
SCSC,SCSC,44.70000076293945,978237166.6965485,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,363110.0,3.8
UPB,UPB,19.68000030517578,1078188496.7193604,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,601127.6,3.8
HCSG,HCSG,15.75,1140500088.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,602810.0,3.8
SHLS,SHLS,7.150000095367432,1196645523.1609802,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,5195046.1,3.8
