date,score,label
2025-09-03,55,Greed
2025-09-04,51,Neutral
2025-09-05,48,Neutral
2025-09-06,48,Neutral
2025-09-08,51,Neutral
2025-09-09,48,Neutral
2025-09-11,54,Neutral
2025-09-12,57,Greed
