ticker_tv,ticker_yf,exchange_yf,exchange_tv,country,sector,industry,market_cap,price,technical_local,tech_score,rsi,sma20,sma50,sma200,macd,macds,stoch_k,stoch_d,tv_reco,tv_buy,tv_neutral,tv_sell,analyst_mean,analyst_votes,analyst_bucket
SNOW,SNOW,NYQ,NASDAQ,United States,Technology,Software - Application,79630815683.33203,238.66000366210938,Strong Buy,4,71.70947028995192,202.2434989929199,211.2543994140625,180.1163496017456,2.5401640302417547,-2.318450373137366,78.18582868977263,58.38720668510174,,,,,1.58824,47.0,Strong Buy
NOW,NOW,NYQ,NASDAQ,United States,Technology,Software - Application,190390393639.42383,917.4600219726562,Neutral,1,52.6018522827546,884.484994506836,944.3131958007813,970.8928485107422,-11.534660038727793,-19.942108620894,84.04319098002551,67.75210099930128,,,,,1.43478,41.0,Strong Buy
DDOG,DDOG,NMS,NASDAQ,United States,Technology,Software - Application,47666462952.27539,136.67999267578125,Buy,3,54.133877418044484,131.27700233459473,136.8512013244629,127.63412513732911,-0.8493360271257302,-1.8955508215794499,72.7183718217105,51.07636351946371,,,,,1.54545,40.0,Strong Buy
MRVL,MRVL,NMS,NASDAQ,United States,Technology,Semiconductors,66587865066.18555,62.8650016784668,Strong Sell,-4,31.716473842997328,74.88224964141845,74.64120994567871,82.40922298431397,-0.9831013061769056,-0.1111223429009975,43.69727687938772,50.29107889517858,,,,,1.54762,38.0,Strong Buy
PINS,PINS,NYQ,NASDAQ,United States,Communication Services,Internet Content & Information,24953418704.591064,36.630001068115234,Buy,3,52.69664125901823,36.32999973297119,36.424799880981446,32.75464997291565,-0.12886385986660542,-0.18328654540023206,85.5313211685749,71.14724286259796,,,,,1.525,36.0,Strong Buy
MU,MU,NMS,NASDAQ,United States,Technology,Semiconductors,133187661786.55957,119.01000213623047,Buy,3,52.10429469853703,118.31150016784667,118.18188293457031,100.004366645813,0.99739700336373,1.1436789052025227,42.9924291512098,40.62075670630721,,,,,1.53846,35.0,Strong Buy
DKNG,DKNG,NMS,NASDAQ,United States,Consumer Cyclical,Gambling,23820631140.414062,47.97999954223633,Strong Buy,4,66.21002600542117,45.464999771118165,44.11879997253418,40.248650064468386,1.2151642886355987,0.9588782125081259,91.00428819966646,92.7509030727915,,,,,1.47059,33.0,Strong Buy
HUBS,HUBS,NYQ,NASDAQ,United States,Technology,Software - Application,25459725834.54895,483.1700134277344,Neutral,1,51.18495216601012,458.9845031738281,510.7164001464844,625.9039987182617,-12.050146017763552,-19.280155444817996,91.65887740834985,73.7019202266935,,,,,1.41667,33.0,Strong Buy
DT,DT,NYQ,NASDAQ,United States,Technology,Software - Application,15343639127.70166,50.599998474121094,Neutral,1,53.089757871981504,48.748999977111815,51.89519981384277,52.60844980239868,-0.4919773150897413,-0.949585975153332,91.88182138159084,75.8540602828678,,,,,1.58333,32.0,Strong Buy
CMG,CMG,NYQ,NASDAQ,United States,Consumer Cyclical,Restaurants,56504682381.5918,42.13999938964844,Strong Sell,-4,34.34677734067937,42.80949993133545,48.54980003356933,53.14735012054443,-1.4240111525890384,-1.7143708292260245,34.01974561603385,41.616799663643285,,,,,1.58824,31.0,Strong Buy
FI,FI,NYQ,NASDAQ,United States,Technology,Information Technology Services,75113680074.92578,138.17999267578125,Neutral,0,40.880546965186916,136.26599807739257,151.46539978027343,190.68374992370605,-2.9930730298524395,-4.292921305625453,71.53796810234438,71.0499854902511,,,,,1.57576,31.0,Strong Buy
BSX,BSX,NYQ,NASDAQ,United States,Healthcare,Medical Devices,156324626688.0,105.5,Neutral,1,53.487625372322206,104.43650016784667,104.48100051879882,99.76615009307861,0.42261315494569374,0.24362497206371886,75.8193932908503,79.87836285737933,,,,,1.36364,31.0,Strong Buy
FSLR,FSLR,NMS,NASDAQ,United States,Technology,Solar,20933737381.835938,195.19000244140625,Neutral,1,53.34900829149579,193.39150009155273,178.91200042724608,165.40940029144286,5.223224383687011,6.366370538902933,39.99555869714857,41.34774264268966,,,,,1.58824,30.0,Strong Buy
FANG,FANG,NMS,NASDAQ,United States,Energy,Oil & Gas E&P,43063938149.96582,148.75999450683594,Strong Buy,4,61.66135559454865,142.0501281738281,141.85520080566405,149.6044827270508,1.2481970145420007,0.2009771957493836,94.68790641911365,89.43697757530877,,,,,1.46667,30.0,Strong Buy
SLB,SLB,NYQ,NASDAQ,United States,Energy,Oil & Gas Equipment & Services,54953123617.05078,36.84000015258789,Buy,2,68.1142723026265,33.98300018310547,34.525400161743164,37.39203556060791,0.5276197346301785,0.0931261688904925,96.12549392597323,93.64804816347066,,,,,1.44828,28.0,Strong Buy
GTLB,GTLB,NMS,NASDAQ,United States,Technology,Software - Infrastructure,8170362593.726196,48.02000045776367,Buy,2,59.88712787105591,43.737249755859374,44.35429962158203,52.874800033569336,0.8066061520978991,0.12231569498864894,90.32522113923137,85.88630540410732,,,,,1.53571,27.0,Strong Buy
BMRN,BMRN,NMS,NASDAQ,United States,Healthcare,Biotechnology,11378790413.230713,58.27000045776367,Neutral,-1,50.78749237369215,58.356000137329104,57.72779975891113,62.40339994430542,-0.025911506354198366,-0.014888147527046928,59.06416211524328,48.19929760189694,,,,,1.59259,26.0,Strong Buy
EXE,EXE,NMS,NASDAQ,United States,Energy,Oil & Gas E&P,23047769589.294434,96.77999877929688,Neutral,1,46.95592936086708,96.09302253723145,102.39762100219727,102.47714473724365,-1.618249355754969,-2.2715218163631725,74.28811554882039,60.82634480259927,,,,,1.38462,26.0,Strong Buy
FLUT,FLUT,NYQ,NASDAQ,United States,Consumer Cyclical,Gambling,53987277592.6582,307.1700134277344,Strong Buy,6,61.37634569245733,297.3190032958984,293.41400146484375,264.6455997467041,3.194550418622555,2.0692831055095184,95.18040472058192,85.35834410364845,,,,,1.42308,26.0,Strong Buy
COP,COP,NYQ,NASDAQ,United States,Energy,Oil & Gas E&P,123607596491.625,98.97000122070312,Strong Buy,4,66.11595310934723,94.88567504882812,93.52780990600586,94.89243846893311,1.3985145643484884,0.9768879003613589,94.00732488323563,92.13762773661864,,,,,1.57692,26.0,Strong Buy
DXCM,DXCM,NMS,NASDAQ,United States,Healthcare,Medical Devices,29544956866.60547,75.33999633789062,Sell,-2,36.4287082203305,78.37049980163575,82.20359985351563,79.91364988327027,-1.7006357155350003,-1.2993731708169187,15.354055549998456,14.531443533447208,,,,,1.40741,25.0,Strong Buy
XPO,XPO,NYQ,NASDAQ,United States,Industrials,Trucking,15273731040.618896,129.6999969482422,Neutral,1,50.82267495707782,127.48999900817871,128.75500030517577,126.62724990844727,1.3928483852023703,1.0408267683105499,61.76954449966897,72.64890217990941,,,,,1.5,24.0,Strong Buy
ANET,ANET,NYQ,NASDAQ,United States,Technology,Computer Hardware,171625604520.4629,136.5500030517578,Strong Buy,4,64.11987518640625,134.36649856567382,117.96519943237304,101.75396205902099,4.691197579112611,5.7533657752543395,53.92086892128191,47.945082021411984,,,,,1.57143,24.0,Strong Buy
EXAS,EXAS,NCM,NASDAQ,United States,Healthcare,Diagnostics & Research,8977507012.706543,47.41999816894531,Neutral,1,52.43961439440385,45.408500289916994,48.967600173950196,51.41625,-0.4351682944678501,-0.9471241743392128,88.4206658745937,84.26289759537109,,,,,1.375,23.0,Strong Buy
PODD,PODD,NMS,NASDAQ,United States,Healthcare,Medical Devices,23925001884.19336,339.8800048828125,Strong Buy,6,72.6383854056934,316.5874984741211,304.08259826660156,282.3814993286133,10.928671062697845,8.979569970901764,97.29631524281524,95.99563149046787,,,,,1.45833,23.0,Strong Buy
VRT,VRT,NYQ,NASDAQ,United States,Industrials,Electrical Equipment & Parts,48707138035.765625,127.55000305175781,Neutral,0,44.63055470898341,133.6719997406006,130.70820007324218,112.38184274673462,-1.032755321709942,-0.10981379783597538,37.012515696134614,33.13120398568979,,,,,1.58333,23.0,Strong Buy
VICI,VICI,NYQ,NASDAQ,United States,Real Estate,REIT - Diversified,36021976757.79883,33.779998779296875,Strong Buy,6,60.43868751879079,33.10799999237061,33.00979995727539,31.105960388183593,0.1904327528989853,0.09476634869860862,87.18764473862922,86.96721516473399,,,,,1.52174,22.0,Strong Buy
