ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
IMOS,semiconducteurs,63.2,En base (loin du pivot),63.93,55.5,-0.171,-1.36,9.96,0.24,6533439.0,11.2,42.6,21.0,0.21,0.0,1.0,0.411,0.536,0.107,0.354,0.868,0.937,0.628,2567831355.043808,,,0,4,2026-01-27,42.36,50.92,160
TT,gestion_thermique,63.1,Setup en formation,478.13,51.7,0.487,-1.33,-5.03,4.42,683597092.0,5.5,13.1,50.0,0.18,0.0,0.797,1.0,0.3,0.367,1.0,0.513,0.492,0.817,106619479285.69868,Direction,26.0,1,14,2026-02-03,433.33,10.34,153
TDG,defense,62.9,Setup en formation,1348.49,63.1,2.11,3.0,1.2,8.14,525185418.0,1.0,17.2,52.0,0.27,0.0,0.428,1.0,0.465,0.635,1.0,0.52,0.532,0.625,74766977547.02441,,,0,6,2026-01-05,1367.89,-1.42,182
KLIC,semiconducteurs,62.9,En base (loin du pivot),121.33,54.8,0.156,-9.33,-7.73,12.17,161375331.0,10.7,40.1,80.0,0.0,0.0,1.0,0.551,0.119,0.5,0.418,0.503,0.929,0.645,6263198735.330727,,,0,6,2026-01-05,51.08,137.53,182
OMCL,robotique,62.4,Setup en formation,43.03,61.0,0.434,2.62,8.85,2.67,31284826.0,8.2,24.3,29.0,0.0,0.0,0.7,1.0,0.621,0.5,0.721,0.895,0.516,0.275,2094531167.8740616,Direction,5.0,1,2,2026-01-05,46.93,-8.31,182
NLST,laser_photonique|memoire,61.6,En base (loin du pivot),3.02,56.3,0.022,5.96,2.72,-7.08,3515907.0,23.9,54.2,13.0,1.0,0.0,0.971,0.0,0.924,0.763,0.0,0.817,0.913,0.202,1006617780.60248,Direction,4.0,1,0,2026-01-20,1.16,160.34,167
BWEN,equipement_electrique,61.4,En base (loin du pivot),4.58,55.7,-0.041,-1.51,6.26,13.93,2395962.0,15.2,63.3,51.0,1.0,0.0,1.0,0.0,0.467,0.905,0.0,0.542,0.929,0.494,114680170.63199043,,,0,0,2026-06-12,4.18,9.57,24
SPIR,espace,61.1,En base (loin du pivot),18.44,51.0,0.093,0.33,15.32,-13.63,27310751.0,28.9,41.6,5.0,0.98,0.0,0.7,0.468,0.911,0.991,0.0,0.882,0.722,0.037,691001164.417284,,,0,0,2026-03-11,11.03,67.18,117
GSAT,espace,61.1,Squeeze / VCP prêt à casser,80.39,47.0,-0.016,-0.7,0.55,-2.72,135785417.0,5.1,6.9,8.0,0.28,0.0,0.733,0.153,0.652,0.352,1.0,0.653,0.548,0.83,10343038734.1839,,,0,0,2026-01-05,64.08,25.45,182
GD,defense,60.8,Cup & Handle probable,373.54,67.7,1.601,3.4,8.84,11.13,512988322.0,-2.2,16.4,75.0,0.11,0.0,0.739,1.0,0.181,0.39,0.0,0.849,0.524,0.999,101645239595.8352,,,0,15,2026-01-05,350.93,6.44,182
