ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes
LAMR,LAMR,NMS,12626780776.794434,125.8550033569336,Real Estate,Other Specialized REITs,Neutral,1,,,,5.0
LW,LW,NYQ,7907003387.822754,56.7400016784668,Consumer Staples,Packaged Foods & Meats,Buy,2,,Buy,2.36364,11.0
LSTR,LSTR,NMS,4527133218.849182,130.63999938964844,Industrials,Cargo Ground Transportation,Sell,-3,,Hold,2.94118,13.0
LVS,LVS,NYQ,37991798353.47656,55.345001220703125,Consumer Discretionary,Casinos & Gaming,Buy,2,,Buy,1.68421,18.0
LSCC,LSCC,NMS,9040941574.70581,65.7699966430664,Information Technology,Semiconductors,Strong Buy,4,,,,13.0
LAZ,LAZ,NYQ,5104735196.022034,54.099998474121094,Financials,Capital Markets,Neutral,-1,,Hold,2.71429,5.0
LEA,LEA,NYQ,5775522317.372131,108.55000305175781,Consumer Discretionary,Automotive Parts & Equipment,Strong Buy,4,,,,12.0
LDOS,LDOS,NYQ,22777220110.77881,177.53509521484375,Industrials,Diversified Support Services,Neutral,0,,,,13.0
LEN,LEN,NYQ,34529747567.75391,134.02999877929688,Consumer Discretionary,Homebuilding,Neutral,0,,Hold,2.57895,14.0
LEN.B,LEN-B,NYQ,34669626236.09766,128.66000366210938,Consumer Discretionary,Homebuilding,Neutral,0,,,,
LII,LII,NYQ,19035966399.77417,541.9600219726562,Industrials,Building Products,Strong Sell,-4,,Hold,2.95,17.0
DRS,DRS,NMS,11073419802.4292,41.61000061035156,Industrials,Aerospace & Defense,Neutral,0,,Strong Buy,1.5,10.0
LBRDA,LBRDA,NMS,8618674411.641357,59.79999923706055,Communication Services,Telecom Services,Strong Sell,-4,,,,1.0
LBRDK,LBRDK,NMS,8607506223.831177,59.93000030517578,Communication Services,Telecom Services,Strong Sell,-4,,Buy,2.0,2.0
FWONA,FWONA,NMS,24728110105.03418,89.5199966430664,Communication Services,Entertainment,Neutral,1,,,,6.0
FWONK,FWONK,NMS,24559000089.508057,99.2699966430664,Communication Services,Entertainment,Sell,-3,,Buy,1.8,15.0
LLYVA,LLYVA,NMS,8676986807.368774,92.43000030517578,Communication Services,Entertainment,Buy,2,,,,1.0
LLYVK,LLYVK,NMS,8684488530.737305,95.19000244140625,Communication Services,Entertainment,Buy,2,,,,1.0
LNW,LNW,NMS,7190866063.421631,85.66000366210938,Consumer Discretionary,Casinos & Gaming,Strong Sell,-4,,Buy,1.88235,16.0
LECO,LECO,NMS,13245815961.781311,240.02000427246094,Industrials,Industrial Machinery & Supplies & Components,Neutral,-1,,,,8.0
LNC,LNC,NYQ,8172793915.710449,43.11000061035156,Financials,Multi-line Insurance,Strong Buy,4,,,,11.0
LINE,LINE,NMS,10124014024.520874,40.880001068115234,Real Estate,Industrial REITs,Sell,-3,,Hold,2.57895,18.0
LAD,LAD,NYQ,8536185436.294556,332.9700012207031,Consumer Discretionary,Automotive Retail,Neutral,0,,Buy,1.64286,14.0
LFUS,LFUS,NMS,6381101268.728638,253.35000610351562,Information Technology,Electronic Components,Neutral,-1,,,,4.0
