ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,local_label,tv_reco,tv_symbol_used,tv_exchange_used,bc_label,bc_score,final_signal,analyst_bucket,analyst_mean,analyst_votes,inv_d_label,inv_w_label,inv_m_label,inv_d_vote,inv_w_vote,inv_m_vote,rank_score
W,W,NYQ,10286007367.416382,79.33000183105469,Consumer Discretionary,Internet Retail,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.09375,29.0,,,,,,,5.3999999999999995
ROKU,ROKU,NMS,14507684537.607422,98.47000122070312,Communication Services,Entertainment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.03333,26.0,,,,,,,5.3999999999999995
FTI,FTI,NYQ,15721362000.0,38.25,Energy,Oil & Gas Equipment & Services,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.78261,22.0,,,,,,,5.3999999999999995
CELH,CELH,NCM,15750541395.454346,61.099998474121094,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.85714,20.0,,,,,,,5.3999999999999995
DPZ,DPZ,NMS,15840556947.207642,466.6000061035156,Consumer Discretionary,Restaurants,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.9375,29.0,,,,,,,5.3999999999999995
CHWY,CHWY,NYQ,16822211576.0,40.75,Consumer Discretionary,Other Specialty Retail,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.03448,21.0,,,,,,,5.3999999999999995
INCY,INCY,NMS,16981200781.219482,86.95999908447266,Health Care,Biotechnology,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.34615,23.0,,,,,,,5.3999999999999995
BIIB,BIIB,NMS,20763616717.066406,141.6199951171875,Health Care,Biotechnology,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.26471,28.0,,,,,,,5.3999999999999995
ULTA,ULTA,NMS,23812329416.40625,531.0700073242188,Consumer Discretionary,Other Specialty Retail,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.22222,23.0,,,,,,,5.3999999999999995
RF,RF,NYQ,24038777134.463867,26.940000534057617,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.29167,22.0,,,,,,,5.3999999999999995
ZM,ZM,NMS,24987637302.729736,83.48999786376953,Information Technology,Application Software,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.25,27.0,,,,,,,5.3999999999999995
HBAN,HBAN,NMS,25691405145.16797,17.610000610351562,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.71429,20.0,,,,,,,5.3999999999999995
WDC,WDC,NMS,29835290624.0,86.0,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.64,21.0,,,,,,,5.3999999999999995
FITB,FITB,NMS,30168809578.03125,45.58000183105469,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.91667,22.0,,,,,,,5.3999999999999995
MLM,MLM,NYQ,36859027936.15723,611.2000122070312,Materials,Construction Materials,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.80952,22.0,,,,,,,5.3999999999999995
HUM,HUM,NYQ,37522459881.34766,311.9800109863281,Health Care,Managed Health Care,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.44,22.0,,,,,,,5.3999999999999995
