ticker_yf,ticker_tv,mcap_usd,avg_dollar_vol,sector,industry
NVDA,NVDA,,35590182403.25104,information technology,Semiconductors
PLTR,PLTR,,11334848676.313934,information technology,Internet Services & Infrastructure
MSFT,MSFT,,10840927054.256287,information technology,Systems Software
AAPL,AAPL,,10494915454.731293,information technology,"Technology Hardware, Storage & Peripherals"
AVGO,AVGO,,8058000408.635254,information technology,Semiconductors
AMD,AMD,,6861696979.938507,information technology,Semiconductors
MSTR,MSTR,,3722223914.744873,information technology,Application Software
UNH,UNH,,3557503844.090576,health care,Managed Health Care
HOOD,HOOD,,3511864903.890381,financials,Unknown
CRM,CRM,,2836105589.372864,information technology,Application Software
SNOW,SNOW,,2630104150.252075,information technology,Unknown
LLY,LLY,,2598423688.8183594,health care,Pharmaceuticals
APP,APP,,2597305403.4313965,information technology,Application Software
CRWV,CRWV,,2437276966.3604736,information technology,SOFTWARE - INFRASTRUCTURE
ORCL,ORCL,,2385572999.3440247,information technology,Application Software
COIN,COIN,,2382263080.562134,financials,Unknown
BRK-B,BRK.B,,2251843861.3345337,financials,Multi-Sector Holdings
INTC,INTC,,2139932557.735405,information technology,Semiconductors
JPM,JPM,,2101449628.796997,financials,Diversified Banks
MRVL,MRVL,,2037735848.0018234,information technology,Semiconductors
MU,MU,,1973794132.3995209,information technology,Semiconductors
BAC,BAC,,1967337993.1966782,financials,Diversified Banks
SOFI,SOFI,,1886571463.045082,financials,Unknown
CRWD,CRWD,,1827423158.597412,information technology,Application Software
V,V,,1815835982.463379,financials,Transaction & Payment Processing Services
MDB,MDB,,1783688705.3356934,information technology,Systems Software
GEV,GEV,,1769979739.956665,industrials,Industrial Machinery & Supplies & Components
INTU,INTU,,1639202629.6142578,information technology,Application Software
NOW,NOW,,1473104201.5979004,information technology,Systems Software
UBER,UBER,,1389065383.8213348,industrials,Passenger Ground Transportation
JNJ,JNJ,,1383961260.8850098,health care,Pharmaceuticals
BA,BA,,1378579565.5036926,industrials,Aerospace & Defense
MA,MA,,1375995767.3028564,financials,Transaction & Payment Processing Services
TXN,TXN,,1265757028.4077454,information technology,Semiconductors
C,C,,1240681769.95018,financials,Diversified Banks
ADBE,ADBE,,1233790552.5808716,information technology,Application Software
GS,GS,,1231196849.87854,financials,Investment Banking & Brokerage
AFRM,AFRM,,1208122943.009262,information technology,Unknown
GE,GE,,1182648689.2617798,industrials,Aerospace & Defense
PANW,PANW,,1179647322.5436401,information technology,Systems Software
ISRG,ISRG,,1170217575.697937,health care,Health Care Equipment
QCOM,QCOM,,1169609771.4060974,information technology,Semiconductors
CSCO,CSCO,,1153705689.0129852,information technology,Communications Equipment
WFC,WFC,,1099831117.8085327,financials,Diversified Banks
RKLB,RKLB,,1090240934.0830612,industrials,Aerospace & Defense
AMAT,AMAT,,1071720992.4662781,information technology,Semiconductor Materials & Equipment
UNP,UNP,,1050653112.0472717,industrials,Rail Transportation
MRK,MRK,,1029669828.4398651,health care,Pharmaceuticals
IBKR,IBKR,,1023893937.157402,financials,Investment Banking & Brokerage
ANET,ANET,,1022173282.46521,information technology,Communications Equipment
DELL,DELL,,989601609.9823761,information technology,"Technology Hardware, Storage & Peripherals"
SMCI,SMCI,,987491101.2115097,information technology,"Technology Hardware, Storage & Peripherals"
CAT,CAT,,982415946.882019,industrials,Construction Machinery & Heavy Transportation Equipment
AAL,AAL,,975943477.6441097,industrials,Passenger Airlines
LRCX,LRCX,,970403236.1627197,information technology,Semiconductor Materials & Equipment
CSX,CSX,,951983673.6671448,industrials,Rail Transportation
PFE,PFE,,938455661.4073563,health care,Pharmaceuticals
WDAY,WDAY,,930409190.151825,information technology,Application Software
ADI,ADI,,928442444.8339844,information technology,Semiconductors
MARA,MARA,,927942729.5263004,financials,CAPITAL MARKETS
SOUN,SOUN,,902652742.84482,information technology,SOFTWARE - APPLICATION
IBM,IBM,,879790549.236145,information technology,IT Consulting & Other Services
IREN,IREN,,872606519.3514252,financials,CAPITAL MARKETS
ABBV,ABBV,,853318395.1293945,health care,Pharmaceuticals
ACN,ACN,,851120294.1459656,information technology,IT Consulting & Other Services
SCHW,SCHW,,839026845.6156158,financials,Investment Banking & Brokerage
AXP,AXP,,829966343.8500977,financials,Consumer Finance
ALAB,ALAB,,806030203.7060547,information technology,Semiconductors
APH,APH,,794679108.786087,information technology,Electronic Components
CRDO,CRDO,,774898826.7921448,information technology,SEMICONDUCTORS
KLAC,KLAC,,771623244.3536377,information technology,Semiconductor Materials & Equipment
VRT,VRT,,765910289.3208313,industrials,Unknown
NU,NU,,746959158.6181259,financials,Unknown
WDC,WDC,,745953876.5237427,information technology,"Technology Hardware, Storage & Peripherals"
HON,HON,,695455313.525238,industrials,Industrial Conglomerates
COF,COF,,691909199.9215698,financials,Consumer Finance
