date,ticker,score,bucket,themes,price,mcap_usd
2026-01-05,BRKR,91.9,70+,robotique,51.13,
2026-01-05,MKSI,90.8,70+,laser_photonique,175.89,
2026-01-05,LSCC,89.5,70+,ia|semiconducteurs,80.59,
2026-01-05,COHU,88.2,70+,semiconducteurs,25.1,
2026-01-05,AEIS,87.9,70+,equipement_electrique,227.51,
2026-01-05,ENS,87.4,70+,equipement_electrique,154.49,
2026-01-05,FORM,87.1,70+,semiconducteurs,62.69,
2026-01-05,AMAT,86.6,70+,semiconducteurs,283.61,
2026-01-05,ON,85.8,70+,semiconducteurs,58.69,
2026-01-05,ATRO,85.0,70+,defense,46.39,
2026-01-05,QTUM,84.9,70+,quantique,114.24,
2026-01-05,ALNT,83.8,70+,gestion_thermique,58.26,
2026-01-05,KLAC,82.9,70+,semiconducteurs,134.9,
2026-01-05,DCO,82.8,70+,defense,100.2,
2026-01-05,GOOGL,82.6,70+,ia,316.13,
2026-01-05,FIX,81.7,70+,gestion_thermique,1031.37,
2026-01-05,KLIC,81.3,70+,semiconducteurs,51.08,
2026-01-05,ROK,81.3,70+,robotique,402.09,
2026-01-05,AYI,80.8,70+,equipement_electrique,376.18,
2026-01-05,TER,79.9,70+,robotique,219.33,
2026-01-05,MRCY,79.3,70+,defense|espace,81.29,
2026-01-05,EMR,79.1,70+,equipement_electrique,141.73,
2026-01-05,ONTO,78.3,70+,semiconducteurs,178.18,
2026-01-05,LASR,77.9,70+,laser_photonique|semiconducteurs,38.09,
2026-01-05,HUBB,77.7,70+,equipement_electrique,462.83,
2026-01-05,MCHP,77.7,70+,semiconducteurs,66.33,
2026-01-05,TSM,77.4,70+,semiconducteurs,320.59,
2026-01-05,ADI,76.9,70+,semiconducteurs,275.67,
2026-01-05,PDFS,76.9,70+,semiconducteurs,30.97,
2026-01-05,LHX,76.7,70+,defense,309.05,
2026-01-05,AZZ,76.5,70+,equipement_electrique,110.65,
2026-01-05,CW,76.3,70+,defense,586.09,
2026-01-05,CTS,75.9,70+,gestion_thermique,44.44,
2026-01-05,RTX,75.8,70+,defense,186.86,
2026-01-05,MYRG,75.3,70+,equipement_electrique,232.56,
2026-01-05,LMT,74.9,70+,defense,505.58,
2026-01-05,VECO,73.6,70+,semiconducteurs,31.07,
2026-01-05,CAMT,73.5,70+,semiconducteurs,123.88,
2026-01-05,ASML,73.3,70+,semiconducteurs,1223.9,
2026-01-05,POWL,73.1,70+,equipement_electrique,120.36,
2026-01-05,STM,73.1,70+,semiconducteurs,27.3,
2026-01-05,QCOM,72.7,70+,semiconducteurs,174.54,
2026-01-05,CCJ,72.6,70+,production_energie,100.17,
2026-01-05,NXPI,72.3,70+,semiconducteurs,221.97,
2026-01-05,OMCL,72.2,70+,robotique,46.93,
2026-01-05,VVX,72.1,70+,defense|laser_photonique,59.92,
2026-01-05,FSLR,71.9,70+,production_energie,272.0,
2026-01-05,HII,71.9,70+,defense,360.79,
2026-01-05,NOC,71.7,70+,defense,606.7,
2026-01-05,WLDN,71.6,70+,gestion_thermique,109.74,
2026-01-05,TDG,71.3,70+,defense,1367.89,
2026-01-05,NXE,71.2,70+,production_energie,10.72,
2026-01-05,VIAV,70.4,70+,laser_photonique,18.11,
2026-01-05,GEV,70.3,70+,equipement_electrique|production_energie,680.1,
2026-01-05,LRCX,70.3,70+,semiconducteurs,194.39,
2026-01-05,ACLS,70.2,70+,semiconducteurs,89.04,
2026-01-05,KRKNF,70.2,70+,defense,5.19,
2026-01-05,NVMI,69.5,60-70,semiconducteurs,382.88,
2026-01-05,MXL,69.4,60-70,semiconducteurs,18.13,
2026-01-05,ISRG,68.7,60-70,robotique,566.38,
2026-01-05,AMD,68.3,60-70,ia|semiconducteurs,221.08,
2026-01-05,VSAT,67.9,60-70,espace,38.5,
2026-01-05,COHR,67.7,60-70,laser_photonique,186.36,
2026-01-05,GHM,67.4,60-70,gestion_thermique,70.0,
2026-01-05,HEI,67.2,60-70,defense,341.5,
2026-01-05,PLPC,67.2,60-70,equipement_electrique,225.12,
