window_days,horizon,bucket,n,winrate,avg_ret,med_ret,avg_excess_spy,pct_beat_spy
120,5,70+,612,39.9,-1.39,-1.21,-1.62,39.4
120,5,60-70,835,38.7,-1.57,-1.39,-1.47,40.5
120,5,50-60,1321,34.7,-2.4,-2.41,-2.24,36.0
120,10,70+,578,34.8,-2.86,-3.2,-3.4,31.8
120,10,60-70,775,35.2,-3.23,-2.88,-3.37,35.5
120,10,50-60,1219,33.5,-3.79,-3.94,-3.91,31.9
120,20,70+,503,25.6,-5.43,-7.13,-6.2,22.5
120,20,60-70,657,30.1,-5.89,-6.19,-6.73,26.8
120,20,50-60,1038,32.9,-6.01,-5.97,-6.83,29.0
