candidate_type,ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol,rank_score
anticipative,RF,RF,27.360000610351562,24413546549.101562,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.29167,22.0,18270248.0,5.199999999999999
anticipative,FITB,FITB,46.2599983215332,30618890398.804688,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.91667,22.0,3716369.1,5.199999999999999
anticipative,WDC,WDC,90.48999786376953,31392969591.054688,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.64,21.0,7274045.1,5.199999999999999
anticipative,TRV,TRV,279.42999267578125,62909191971.069336,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.43478,20.0,1235852.0,5.199999999999999
anticipative,HDSN,HDSN,10.359999656677246,452404609.00764465,Basic Materials,Specialty Chemicals,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.5,4.0,367310.9,5.16
anticipative,SHLS,SHLS,7.150000095367432,1196645523.1609802,Technology,Solar,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.95,19.0,5195046.1,5.159999999999999
anticipative,RUN,RUN,16.43000030517578,3790943128.974121,Technology,Solar,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.09091,19.0,10042259.4,5.159999999999999
anticipative,FIVE,FIVE,152.8000030517578,8426232568.29071,Consumer Discretionary,Other Specialty Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.18182,19.0,1723790.7,5.159999999999999
anticipative,LITE,LITE,141.91000366210938,9919509255.981445,Information Technology,Communication Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.63158,19.0,3926184.8,5.159999999999999
anticipative,LYTS,LYTS,23.25,698216100.0,Technology,Electronic Components,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.33333,3.0,295478.1,5.12
anticipative,UPB,UPB,19.68000030517578,1060937008.4518433,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.5,3.0,601127.6,5.12
anticipative,TPR,TPR,105.81999969482422,22023681616.485596,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.75,18.0,4439251.2,5.119999999999999
anticipative,HIG,HIG,134.6999969482422,37873867541.93115,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.2,18.0,1282556.6,5.119999999999999
anticipative,HST,HST,17.59000015258789,12250204087.706787,Real Estate,Hotel & Resort REITs,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.88889,17.0,8671320.7,5.079999999999999
anticipative,ALLY,ALLY,41.56999969482422,12798696548.601562,Financials,Credit Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.1,17.0,2420593.9,5.079999999999999
anticipative,SUI,SUI,128.91000366210938,16635964882.598877,Real Estate,REIT - Residential,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.23529,17.0,931244.6,5.079999999999999
anticipative,FEIM,FEIM,33.040000915527344,322115889.72572327,Technology,Communication Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Strong Buy,1.0,1.0,226176.4,5.04
anticipative,PTCT,PTCT,58.0099983215332,4651172053.422546,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.0,16.0,1113977.7,5.039999999999999
anticipative,REXR,REXR,42.08000183105469,10303456768.341064,Real Estate,REIT - Industrial,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.4375,16.0,2759322.0,5.039999999999999
