ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol,out_of_scope
FIVE,FIVE,NMS,8426232568.29071,152.8000030517578,Consumer Discretionary,Other Specialty Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1723790.7,False
FLEX,FLEX,NMS,21069808932.067383,55.16999816894531,Information Technology,Electronic Manufacturing Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3491020.0,False
FNB,FNB,NYQ,6030028088.806152,16.790000915527344,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,9205800.0,False
BEN,BEN,NYQ,13364079387.085693,25.739999771118164,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3339270.0,False
GE,GE,NYQ,299330387149.6582,282.2699890136719,Industrials,Aerospace & Defense,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4141340.0,True
THG,THG,NYQ,6486604205.004883,181.33999633789062,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,182680.0,False
HIG,HIG,NYQ,37873867541.93115,134.6999969482422,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1282600.0,False
HCA,HCA,NYQ,97101073873.32617,411.5899963378906,Health Care,Health Care Facilities,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1025210.0,True
HSY,HSY,NYQ,37564757818.66455,185.3000030517578,Consumer Staples,Packaged Foods & Meats,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1099550.0,False
HST,HST,NMS,12250204087.706787,17.59000015258789,Real Estate,Hotel & Resort REITs,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,8689960.0,False
IONS,IONS,NMS,9459856081.588623,59.349998474121094,Health Care,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4281150.0,False
JHG,JHG,NYQ,7034653022.794922,45.099998474121094,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1013834.0,False
L,L,NYQ,20230257526.794434,97.52999877929688,Financials,Multi-line Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,759060.0,False
LITE,LITE,NMS,9919509255.981445,141.91000366210938,Information Technology,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3926184.8,False
MCD,MCD,NYQ,226205314847.53125,316.989990234375,Consumer Discretionary,Restaurants,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2935890.0,True
MTG,MTG,NYQ,6556074470.632568,28.440000534057617,Financials,Reinsurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1400810.0,False
MU,MU,NMS,139007134288.0459,124.20999908447266,Information Technology,Semiconductors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,14732800.0,True
MSM,MSM,NYQ,5158919831.890869,92.66000366210938,Industrials,Trading Companies & Distributors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,436550.0,False
MLI,MLI,NYQ,10778956674.049377,97.37000274658203,Industrials,Industrial Machinery & Supplies & Components,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,665750.0,False
NTAP,NTAP,NMS,23720607305.511475,118.83000183105469,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2558910.0,False
NCLH,NCLH,NYQ,11565067694.240112,25.59000015258789,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,13769163.1,False
NU,NU,NYQ,71857047039.9414,14.869999885559082,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,51938747.0,False
NVR,NVR,NYQ,23231507991.796875,8407.76953125,Consumer Discretionary,Homebuilding,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,16470.0,False
ORI,ORI,NYQ,10209632337.913513,41.09000015258789,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1086800.0,False
OMF,OMF,NYQ,7442450772.55249,62.61000061035156,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,855386.7,False
PNR,PNR,NYQ,18042246340.257812,110.05999755859375,Industrials,Industrial Machinery & Supplies & Components,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1106940.0,False
PFGC,PFGC,NYQ,16473625592.0,105.25,Consumer Staples,Food Distributors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1426456.4,False
BPOP,BPOP,NMS,8587070403.00293,127.05999755859375,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,630480.0,False
PHM,PHM,NYQ,27150177900.421143,137.61000061035156,Consumer Discretionary,Homebuilding,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1954030.0,False
RL,RL,NYQ,19429206725.0,320.75,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,576690.0,False
RF,RF,NYQ,24413546549.101562,27.360000610351562,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,18270250.0,False
REXR,REXR,NYQ,10303456768.341064,42.08000183105469,Real Estate,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2759322.0,False
RBLX,RBLX,NYQ,89976520360.67188,129.7899932861328,Communication Services,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,8585405.3,True
RPRX,RPRX,NMS,21303810276.149414,36.900001525878906,Health Care,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3366850.1,False
R,R,NYQ,7694738759.103394,188.63999938964844,Industrials,Cargo Ground Transportation,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,252690.0,False
SGI,SGI,NYQ,18235068863.52539,86.87999725341797,Consumer Discretionary,Home Furnishings,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2221120.0,False
SUI,SUI,NYQ,16635964882.598877,128.91000366210938,Real Estate,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,931240.0,False
SYY,SYY,NYQ,39457273141.571045,82.51000213623047,Consumer Staples,Food Distributors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2658990.0,False
TPR,TPR,NYQ,22023681616.485596,105.81999969482422,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4439260.0,False
FTI,FTI,NYQ,16296785027.160645,39.650001525878906,Energy,Oil & Gas Equipment & Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4021030.0,False
THC,THC,NYQ,17009334897.476196,192.52000427246094,Health Care,Health Care Facilities,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,937210.0,False
TJX,TJX,NYQ,156946808067.6328,141.02000427246094,Consumer Discretionary,Apparel Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,5212980.0,True
TOL,TOL,NYQ,14015052382.965088,145.41000366210938,Consumer Discretionary,Homebuilding,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1708330.0,False
TRV,TRV,NYQ,62909191971.069336,279.42999267578125,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1236430.0,False
USB,USB,NYQ,76517857090.3711,49.16999816894531,Financials,Diversified Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,8743800.0,True
UI,UI,NYQ,34189630626.40381,565.1300048828125,Information Technology,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,299780.0,False
VOYA,VOYA,NYQ,7483949900.819397,77.62000274658203,Financials,Multi-Sector Holdings,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,797044.0,False
WRB,WRB,NYQ,27658044282.13379,72.91999816894531,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1409720.0,False
WBS,WBS,NYQ,10456611072.338867,62.91999816894531,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1044120.0,False
WAL,WAL,NYQ,10081104055.81665,91.33999633789062,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,949060.0,False
WDC,WDC,NMS,31392969591.054688,90.48999786376953,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,7274790.0,False
WTFC,WTFC,NMS,9360600899.542236,139.80999755859375,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,413370.0,False
STX,STX,NMS,39128312079.50586,183.97999572753906,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3111090.0,False
AZN,AZN,NMS,253558883598.25,81.77999877929688,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3587440.0,True
ONC,ONC,NMS,37364400457.91626,318.7300109863281,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,298688.3,False
BIDU,BIDU,NMS,33732482229.861084,98.20999908447266,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,5217140.0,False
CRDO,CRDO,NMS,23178516000.0,134.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,5681653.7,False
SATS,SATS,NMS,19340269871.21582,67.22000122070312,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,10947240.0,False
GMAB,GMAB,NMS,16840642806.691895,27.3799991607666,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1589835.3,False
LOGI,LOGI,NMS,15689969425.53711,106.5199966430664,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,425530.0,False
VLYPN,VLYPN,,,26.479999542236328,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,16568.7,False
BPYPN,BPYPN,,,13.399999618530273,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,24731.6,False
BZ,BZ,NMS,10606610065.270386,24.010000228881836,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,5288066.0,False
NXT,NXT,NMS,10187321174.224854,68.8499984741211,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1739806.2,False
UMBF,UMBF,NMS,9387016014.976685,123.62999725341797,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,490790.0,False
OTEX,OTEX,NMS,8523336630.859375,33.470001220703125,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1634190.0,False
ACGLO,ACGLO,,,21.639999389648438,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,24423.7,False
IDCC,IDCC,NMS,7427995037.988281,287.8800048828125,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,305620.0,False
TSEM,TSEM,NMS,7042942756.530762,62.970001220703125,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1994750.0,False
FCFS,FCFS,NMS,6691512699.234009,150.8300018310547,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,312730.0,False
AXSM,AXSM,NGM,6208245797.744751,124.41000366210938,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,576375.8,False
VLY,VLY,NMS,5961028692.083374,10.649999618530273,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,7503850.0,False
IRTC,IRTC,NMS,5852721267.172241,182.1699981689453,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,396378.7,False
SMTC,SMTC,NMS,5197762732.406616,59.900001525878906,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2691940.0,False
RUSHB,RUSHB,NMS,4598862752.250549,59.7400016784668,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,36990.0,False
FTDR,FTDR,NMS,4610638592.695618,63.290000915527344,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,618420.1,False
PTCT,PTCT,NMS,4651172053.422546,58.0099983215332,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1113977.7,False
BANF,BANF,NMS,4546053121.687317,136.47999572753906,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,97400.0,False
IBOC,IBOC,NMS,4501366374.188232,72.41999816894531,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,216880.0,False
OPEN,OPEN,NMS,4386285772.7144165,5.960000038146973,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,412310539.7,False
MLCO,MLCO,NMS,3939206770.291382,10.09000015258789,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3149600.0,False
OSIS,OSIS,NMS,3966033001.966858,235.7100067138672,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,240310.0,False
ARWR,ARWR,NMS,3871224000.0,28.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3110720.0,False
MLTX,MLTX,NCM,3792303685.5163574,59.720001220703125,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,569064.2,False
RUN,RUN,NMS,3790943128.974121,16.43000030517578,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,10042259.4,False
CATY,CATY,NMS,3480925565.799713,50.380001068115234,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,301530.0,False
LGND,LGND,NGM,3270007537.086487,167.74000549316406,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,145040.0,False
JOYY,JOYY,NMS,3186554363.0241394,62.040000915527344,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,637636.3,False
LIVN,LIVN,NMS,3193679493.803406,58.150001525878906,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,608252.1,False
DRVN,DRVN,NMS,3155818649.597168,19.209999084472656,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1150456.3,False
NMIH,NMIH,NGM,3110721131.2313232,40.099998474121094,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,311845.1,False
MGRC,MGRC,NMS,3091696697.5975037,125.62000274658203,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,105860.0,False
CSQ,CSQ,NGM,3002126289.88266,18.719999313354492,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,162770.0,False
EXTR,EXTR,NMS,2968114600.868225,22.450000762939453,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1513790.0,False
SBCF,SBCF,NMS,2780601348.08609,31.649999618530273,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,585640.0,False
KNSA,KNSA,NMS,2631564160.572693,35.5099983215332,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,408957.2,False
WAFD,WAFD,NMS,2517407527.3135986,31.950000762939453,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,336570.0,False
FRME,FRME,NMS,2417828785.664749,41.880001068115234,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,212240.0,False
TIGR,TIGR,NMS,2260369487.4515533,12.720000267028809,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,9022255.9,False
BANR,BANR,NMS,2344483286.6630554,67.79000091552734,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,140090.0,False
FBNC,FBNC,NMS,2303236288.366699,55.54999923706055,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,220450.0,False
IDYA,IDYA,NMS,2263836660.9933167,25.829999923706055,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,991351.7,False
PRCH,PRCH,NCM,1871628629.5509338,17.950000762939453,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2232961.1,False
MLYS,MLYS,NMS,2195696953.189087,33.119998931884766,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3419069.2,False
PINC,PINC,NMS,2169403544.682312,26.280000686645508,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1382694.6,False
SEDG,SEDG,NMS,2028243158.9401245,34.15999984741211,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3713660.5,False
CHCO,CHCO,NMS,1886498131.5307617,130.14999389648438,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,82050.0,False
CSGS,CSGS,NMS,1859014087.0147705,64.62000274658203,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,181180.0,False
SUPX,SUPX,NCM,1858222400.0,68.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,332469.9,False
COGT,COGT,NMS,1807730777.8591309,12.9399995803833,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1282098.1,False
CCB,CCB,NMS,1750842466.5016174,115.87999725341797,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,139619.8,False
ADEA,ADEA,NMS,1685376273.311615,15.40999984741211,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,523606.3,False
TASK,TASK,NMS,1597096338.720581,17.989999771118164,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,457395.5,False
PAHC,PAHC,NGM,1583647739.630127,39.06999969482422,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,480709.8,False
STBA,STBA,NMS,1539289509.3963623,39.95000076293945,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,124800.0,False
TCBK,TCBK,NMS,1497714000.0,46.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,83270.0,False
FRMEP,FRMEP,,,25.84000015258789,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,810.0,False
NSSC,NSSC,NMS,1399513700.0,39.25,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,639690.0,False
ATRO,ATRO,NMS,1389129888.8397217,39.060001373291016,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,694950.0,False
PFBC,PFBC,NMS,1185135362.438202,95.76000213623047,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,58990.0,False
IMKTA,IMKTA,NMS,1337716350.0,70.5,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,115420.0,False
INVA,INVA,NMS,1318399324.8081207,20.920000076293945,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,639010.0,False
CRAI,CRAI,NMS,1294958772.9766846,196.67999267578125,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,94730.0,False
BBSI,BBSI,NMS,1268359770.767212,49.16999816894531,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,189210.0,False
CRCT,CRCT,NMS,1245050788.3672714,5.860000133514404,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,674961.9,False
SHLS,SHLS,NGM,1196645523.1609802,7.150000095367432,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,5195046.1,False
IPX,IPX,NCM,1548241100.0,47.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,80487.9,False
HCSG,HCSG,NMS,1140500088.0,15.75,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,602810.0,False
UPB,UPB,NMS,1078188496.7193604,19.68000030517578,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,601127.6,False
ATLC,ATLC,NMS,1040022536.3113403,68.76000213623047,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,35320.0,False
SCSC,SCSC,NMS,978237166.6965485,44.70000076293945,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,363110.0,False
GAINL,GAINL,,,25.540000915527344,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,4935.6,False
QURE,QURE,NMS,972790111.8839264,17.729999542236328,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,895851.1,False
WRLD,WRLD,NMS,957152020.4853821,175.75999450683594,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,33080.0,False
SLRC,SLRC,NMS,910516303.1352997,16.690000534057617,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,161790.0,False
