theme,heat,top_headline
semiconducteurs,51,AI’s rally is disguising a massive slump in tech stocks - WPSD Local 6
memoire,47,"Micron Lags Despite NVIDIA's $279B Memory Commitment; Western Digital Drops 4%, SK Hynix Ticks Up - 24/7 Wall St."
quantique,59,This Quantum Stock Has a $32 Price Target and an Inkjet Past. Its Growth Surge May Be an Illusion. - Barron's
ia,100,"Palantir Billionaire Peter Thiel Just Bought This Magnificent Artificial Intelligence (AI) Stock Up 347,260% Since Its IPO - Yahoo Finance"
laser_photonique,0,
robotique,44,What Is Tesla (TSLA) Really Building With Optimus Robots And Its New Starbase? - Yahoo Finance Australia
equipement_electrique,31,Domestic power equipment and electricity stocks soared as U.S. President Donald Trump signed an exec.. - 매일경제
production_energie,38,"NuScale Power Rises 4%, Oklo Climbs 3% as Risk Appetite Returns, Uranium Energy Ticks Up - 24/7 Wall St."
gestion_thermique,40,This Earnings Season Confirmed the AI Power Bottleneck Is Real. Here Are the Industrial Winners Hiding in Plain Sight. - The Globe and Mail
espace,43,Is RKLB Stock A Buy Or A High-Beta Trap? - Trefis
defense,37,"AP exclusive: U.S. Patriot missile stocks in Europe 'beyond critical' due to Iran war, officials say - PBS"
new_tech,22,Emerging-Market Surge: 3 Top Stocks For Diversity And Growth - Seeking Alpha
