ticker,themes,n_themes,valid
LAZR,laser_photonique,1,True
LDOS,defense,1,True
LEU,production_energie,1,True
LFWD,robotique,1,True
LHX,defense,1,True
LIDR,laser_photonique,1,True
LII,gestion_thermique,1,True
LITE,laser_photonique,1,True
LMB,gestion_thermique,1,True
LMRXF,production_energie,1,True
LMT,defense,1,True
LPSN,ia,1,True
LPTH,laser_photonique,1,True
LRCX,semiconducteurs,1,True
LTBR,production_energie,1,True
LUNR,espace,1,True
MARK,ia,1,True
MASS,robotique,1,True
MBOT,robotique,1,True
MCHP,semiconducteurs,1,True
MDA,espace,1,True
META,ia,1,True
MKSI,laser_photonique,1,True
MLGO,quantique,1,True
MNTS,espace,1,True
MOD,gestion_thermique,1,True
MPWR,semiconducteurs,1,True
MRAM,memoire,1,True
MSFT,ia,1,True
MU,semiconducteurs,1,True
MVST,new_tech,1,True
MXL,semiconducteurs,1,True
MYRG,equipement_electrique,1,True
NAUT,robotique,1,True
NBIS,ia,1,True
NKLR,production_energie,1,True
NNOX,defense,1,True
NOC,defense,1,True
NRDY,ia,1,True
NRG,production_energie,1,True
NSYS,gestion_thermique,1,True
NUAI,gestion_thermique,1,True
NVEC,semiconducteurs,1,True
NVMI,semiconducteurs,1,True
NXE,production_energie,1,True
NXPI,semiconducteurs,1,True
ODYS,ia,1,True
OMCL,robotique,1,True
ON,semiconducteurs,1,True
ONTO,semiconducteurs,1,True
OSIS,defense,1,True
PDFS,semiconducteurs,1,True
PENMF,production_energie,1,True
PL,espace,1,True
PLAB,semiconducteurs,1,True
PLPC,equipement_electrique,1,True
PNR,gestion_thermique,1,True
POCI,laser_photonique,1,True
POWL,equipement_electrique,1,True
POWW,defense,1,True
PPSI,equipement_electrique,1,True
PRCT,robotique,1,True
PWR,equipement_electrique,1,True
QCOM,semiconducteurs,1,True
QMCO,quantique,1,True
QNC,quantique,1,True
QNT,quantique,1,True
QRVO,semiconducteurs,1,True
QS,new_tech,1,True
QSI,quantique,1,True
QTEX,quantique,1,True
QTUM,quantique,1,True
QUIK,ia,1,True
RBOT,robotique,1,True
REKR,ia,1,True
RMBS,semiconducteurs,1,True
ROK,robotique,1,True
RTX,defense,1,True
SATL,espace,1,True
SEDG,equipement_electrique,1,True
SES,new_tech,1,True
SHLS,equipement_electrique,1,True
SIDU,espace,1,True
SIF,defense,1,True
SITM,semiconducteurs,1,True
SKYT,semiconducteurs,1,True
SLAB,semiconducteurs,1,True
SLDP,new_tech,1,True
SMP,gestion_thermique,1,True
SMTC,semiconducteurs,1,True
SNOW,ia,1,True
SOLS,gestion_thermique,1,True
SPCE,espace,1,True
SPCX,espace,1,True
SPIR,espace,1,True
SSKN,laser_photonique,1,True
STEM,equipement_electrique,1,True
STI,new_tech,1,True
STM,semiconducteurs,1,True
STRL,gestion_thermique,1,True
STXS,robotique,1,True
SWKS,semiconducteurs,1,True
SWMR,defense,1,True
SYM,robotique,1,True
SYPR,defense,1,True
TATT,defense,1,True
TDG,defense,1,True
TER,robotique,1,True
TLN,production_energie,1,True
TSAT,espace,1,True
TSEM,semiconducteurs,1,True
TSLA,new_tech,1,True
TSM,semiconducteurs,1,True
TSSI,gestion_thermique,1,True
TT,gestion_thermique,1,True
TXN,semiconducteurs,1,True
UAVS,defense,1,True
UEC,production_energie,1,True
UMAC,defense,1,True
URG,production_energie,1,True
UROY,production_energie,1,True
UUUU,production_energie,1,True
VECO,semiconducteurs,1,True
VELO,new_tech,1,True
VERI,ia,1,True
VIAV,laser_photonique,1,True
VICR,equipement_electrique,1,True
VLN,semiconducteurs,1,True
VRSN,ia,1,True
VSAT,espace,1,True
VST,production_energie,1,True
VWAV,defense,1,True
WLDN,gestion_thermique,1,True
WSTRF,production_energie,1,True
WWR,production_energie,1,True
XNDU,quantique,1,True
XYL,gestion_thermique,1,True
YMAT,new_tech,1,True
YSS,espace,1,True
ZBRA,robotique,1,True
ZENA,defense,1,True
ADN,production_energie,1,False
AETI,equipement_electrique,1,False
AI,ia,1,False
AMBI,robotique,1,False
AMOT,equipement_electrique,1,False
ANLDF,production_energie,1,False
AXT,semiconducteurs,1,False
CBAK,new_tech,1,False
EKSO,robotique,1,False
EMKR,laser_photonique,1,False
HYZN,production_energie,1,False
IRBT,robotique,1,False
NFUNF,production_energie,1,False
POAI,ia,1,False
RWLK,robotique,1,False
THRD,robotique,1,False
URGE,production_energie,1,False
VRNT,ia,1,False
