ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
VST,production_energie,60.4,Squeeze / VCP prêt à casser,166.74,60.5,0.533,2.72,4.06,-0.31,642413967.0,2.7,22.7,6.0,0.74,0.0,0.338,1.0,0.717,0.488,1.0,0.878,0.5,0.206,55857648883.67908,Contrat,7.0,3,15,2026-02-25,174.88,-4.65,148
VSAT,espace,59.8,En base (loin du pivot),74.37,53.3,-0.244,0.92,5.58,15.79,220848196.0,20.1,37.2,80.0,0.0,0.0,0.76,0.71,0.406,0.5,0.0,0.843,0.897,0.331,10066839156.400185,,,0,0,2026-01-05,38.5,93.17,199
TT,gestion_thermique,58.9,Setup en formation,473.6,49.3,-1.724,0.79,-1.37,-3.66,604256098.0,6.4,13.1,13.0,0.51,0.0,0.724,1.0,0.706,0.253,0.953,0.501,0.341,0.787,105276564564.49255,Direction,1.0,1,2,2026-02-03,433.33,9.29,170
IRDM,espace,58.4,En base (loin du pivot),46.86,46.6,-0.605,-0.8,-3.72,8.22,146675561.0,18.0,29.5,61.0,0.0,0.0,0.796,1.0,0.633,0.5,0.0,0.591,0.778,0.398,4950469223.106171,Résultats,1.0,3,21,2026-01-12,19.38,141.8,192
AYI,equipement_electrique,58.3,En base (loin du pivot),331.55,51.4,-3.139,1.68,-0.83,3.13,161626197.0,12.4,28.5,69.0,0.0,0.0,0.79,1.0,0.466,0.392,0.202,0.545,0.722,0.579,9754946730.815674,Résultats,28.0,1,1,2026-01-05,376.18,-11.86,199
CARR,gestion_thermique,57.4,En base (loin du pivot),68.1,47.9,-0.422,2.11,-0.57,-4.88,394596905.0,11.0,20.4,43.0,0.6,0.0,0.72,1.0,0.56,0.302,0.38,0.669,0.619,0.509,56928065331.57367,,,0,10,2026-02-03,60.98,11.68,170
TSM,semiconducteurs,56.3,En base (loin du pivot),421.21,48.3,-2.992,-0.8,0.41,-9.93,6481731727.0,12.1,19.8,66.0,0.09,0.0,0.7,1.0,0.425,0.044,0.242,0.774,0.746,0.598,2146811192519.5747,,,0,92,2026-01-05,320.59,31.39,199
NVT,equipement_electrique|gestion_thermique,55.7,En base (loin du pivot),158.47,48.1,-0.04,-1.38,-0.62,-14.03,315069232.0,14.2,21.1,32.0,0.47,0.0,0.7,1.0,0.632,0.319,0.0,0.724,0.643,0.528,25707084135.68964,,,0,13,2026-01-05,106.25,49.15,199
POWI,equipement_electrique|semiconducteurs,55.6,En base (loin du pivot),72.49,47.4,0.049,-2.55,2.07,-17.01,65759337.0,20.5,29.5,63.0,1.0,0.0,0.7,1.0,0.579,0.498,0.0,0.721,0.659,0.317,3932437700.756104,,,0,1,2026-01-12,41.25,75.73,192
ASPN,robotique,53.6,En base (loin du pivot),5.31,47.5,-0.02,-2.21,0.19,-16.64,6620861.0,20.7,27.1,48.0,0.95,0.0,0.7,1.0,0.71,0.51,0.0,0.733,0.722,0.0,418116756.7080479,,,0,,2026-04-09,3.74,41.98,105
