ticker,sector
AAP,Consumer Discretionary
AAT,Real Estate
ABEO,Health Care
ABM,Industrials
ABUS,Health Care
ACAD,Health Care
ACCO,Industrials
ACEL,Consumer Discretionary
ACHV,Health Care
ACIC,Financials
ACLS,Information Technology
ACNB,Financials
ACNT,Materials
ACRS,Health Care
ACVA,Consumer Discretionary
ADAG,Health Care
ADAM,Real Estate
ADEA,Information Technology
ADUR,Industrials
AEF,Financials
AFYA,Consumer Staples
AGIO,Health Care
AGL,Health Care
AGM,Financials
AGO,Financials
AIN,Consumer Discretionary
AIO,Financials
ALCO,Consumer Staples
ALHC,Health Care
ALMS,Health Care
ALNT,Information Technology
ALRS,Financials
ALTO,Materials
ALX,Real Estate
AMAL,Financials
AMBA,Information Technology
AMBP,Consumer Discretionary
AMBQ,Information Technology
AMLX,Health Care
AMN,Health Care
AMRN,Health Care
AMTB,Financials
ANAB,Health Care
ANGO,Health Care
ANIK,Health Care
ANIP,Health Care
AOMR,Real Estate
APEI,Consumer Staples
APLE,Real Estate
ARDC,Financials
ARKO,Consumer Discretionary
AROW,Financials
ARR,Real Estate
ARTNA,Utilities
ASH,Materials
ASIC,Financials
ATAI,Health Care
ATLC,Financials
ATLO,Financials
AUDC,Information Technology
AVA,Utilities
AVBC,Financials
AVBH,Financials
AVBP,Health Care
AVNT,Materials
AVR,Health Care
AWR,Utilities
AXGN,Health Care
AYA,Materials
AZTA,Health Care
AZZ,Industrials
BANC,Financials
BANR,Financials
BATRA,Communication Services
BATRK,Communication Services
BBCP,Industrials
BBDC,Financials
BBT,Financials
BCAL,Financials
BCAT,Financials
BCML,Financials
BCRX,Health Care
BDJ,Financials
BDN,Real Estate
BEAM,Health Care
BELFA,Information Technology
BELFB,Information Technology
BETA,Industrials
BFH,Financials
BFS,Real Estate
BFST,Financials
BHB,Financials
BHE,Information Technology
BHF,Financials
BHRB,Financials
BJRI,Consumer Discretionary
BKD,Health Care
BKU,Financials
BLBD,Industrials
BLFS,Health Care
BLMN,Consumer Discretionary
BLND,Information Technology
BLX,Financials
BMRC,Financials
BNL,Real Estate
BOH,Financials
BOW,Financials
BOX,Information Technology
BRBS,Financials
BRC,Industrials
BST,Financials
BSTZ,Financials
BTX,Financials
BTZ,Financials
BULL,Information Technology
BUSE,Financials
BV,Industrials
BVS,Health Care
BWAY,Health Care
BWEN,Industrials
BWMX,Consumer Discretionary
BY,Financials
BZH,Consumer Discretionary
CAC,Financials
CAKE,Consumer Discretionary
CALY,Consumer Discretionary
CARE,Financials
CARS,Communication Services
CASH,Financials
CASS,Industrials
CATY,Financials
CBAN,Financials
CBK,Financials
CBL,Real Estate
CBT,Materials
CBU,Financials
CCBG,Financials
CCNE,Financials
CCO,Communication Services
CCRN,Health Care
CCS,Real Estate
CCSI,Information Technology
CDNA,Health Care
CDP,Real Estate
CENT,Consumer Staples
CENTA,Consumer Staples
CERS,Health Care
CFBK,Financials
CFFN,Financials
CGEM,Health Care
CHCO,Financials
CHEF,Consumer Staples
CHMG,Financials
CII,Financials
CIM,Real Estate
CLAR,Consumer Discretionary
CLBK,Financials
CLDT,Real Estate
CLDX,Health Care
CLMT,Materials
CLOV,Health Care
CLYM,Health Care
CMBT,Energy
CMDB,Industrials
CMP,Materials
CMPR,Industrials
CMPS,Health Care
CMTV,Financials
CNK,Communication Services
CNO,Financials
CNOB,Financials
CNS,Financials
CNXN,Information Technology
CODI,Industrials
COHU,Information Technology
COLD,Real Estate
COLM,Consumer Discretionary
COSO,Financials
CPAC,Materials
CPF,Financials
CPRX,Health Care
CRI,Consumer Discretionary
CRMD,Health Care
CRON,Health Care
CRVL,Financials
CSQ,Financials
CSWC,Financials
CTBI,Financials
CTNM,Health Care
CTO,Real Estate
CTOS,Industrials
CUBI,Financials
CURB,Real Estate
CV,Health Care
CVBF,Financials
CVCO,Consumer Discretionary
CVEO,Consumer Discretionary
CVLG,Industrials
CVSA,Consumer Staples
CWBC,Financials
CWK,Real Estate
CWT,Utilities
CYRX,Industrials
CZNC,Financials
CZWI,Financials
DAO,Consumer Staples
DBD,Information Technology
DCOM,Financials
DCTH,Health Care
DEA,Real Estate
DEI,Real Estate
DERM,Health Care
DGICA,Financials
DGII,Information Technology
DHC,Real Estate
DIN,Consumer Discretionary
DJCO,Information Technology
DK,Energy
DKL,Energy
DLTH,Consumer Discretionary
DNLI,Health Care
DORM,Consumer Discretionary
DRH,Real Estate
DRVN,Consumer Discretionary
DSP,Information Technology
DTIL,Health Care
DV,Communication Services
DYN,Health Care
EBF,Industrials
EBMT,Financials
ECAT,Financials
ECO,Industrials
ECPG,Financials
EDIT,Health Care
EE,Energy
EFC,Real Estate
EFSC,Financials
EFSI,Financials
EGBN,Financials
EIG,Financials
ELA,Consumer Discretionary
ELDN,Health Care
ELVN,Health Care
ENR,Industrials
ENTA,Health Care
EOLS,Health Care
EPC,Consumer Staples
EPR,Real Estate
EQBK,Financials
ESOA,Industrials
ESP,Industrials
ESPR,Health Care
ESQ,Financials
ESTA,Health Care
ETO,Financials
ETON,Health Care
ETOR,Financials
ETV,Financials
EWTX,Health Care
EXFY,Information Technology
EXTR,Information Technology
EZPW,Financials
FBK,Financials
FBLA,Financials
FBNC,Financials
FBP,Financials
FC,Consumer Staples
FCBC,Financials
FCCO,Financials
FCF,Financials
FDUS,Financials
FELE,Industrials
FENC,Health Care
FF,Materials
FFIN,Financials
FHB,Financials
FHI,Financials
FIBK,Financials
FIVN,Information Technology
FLGT,Health Care
FLXS,Consumer Discretionary
FLYW,Information Technology
FMAO,Financials
FMBH,Financials
FMNB,Financials
FNKO,Consumer Discretionary
FNLC,Financials
FNRN,Financials
FOR,Real Estate
FRAF,Financials
FRBA,Financials
